==23369== Lackey, an example Valgrind tool
==23369== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==23369== Using Valgrind-3.18.1 and LibVEX; rerun with -h for copyright info
==23369== Command: ls
==23369== Parent PID: 2894
==23369== 
I  04020290,3
I  04020293,5
 S 1ffefff978,8
I  04021030,4
I  04021034,1
 S 1ffefff970,8
I  04021035,3
I  04021038,2
 S 1ffefff968,8
I  0402103a,2
 S 1ffefff960,8
I  0402103c,2
 S 1ffefff958,8
I  0402103e,2
 S 1ffefff950,8
I  04021040,1
 S 1ffefff948,8
I  04021041,7
I  04021048,4
 S 1ffefff8f8,8
I  0402104c,2
I  0402104e,7
I  04021055,7
 M 0403ae0e,1
I  0402105c,7
 S 0403aaf0,8
I  04021063,4
I  04021067,3
I  0402106a,7
I  04021071,7
 S 04039aa0,8
I  04021078,7
 L 04039e80,8
I  0402107f,7
 S 0403ab00,8
I  04021086,3
I  04021089,6
I  0402108f,5
I  04021094,6
I  0402109a,5
I  0402109f,6
I  040210a5,7
I  040210ac,6
I  040210b2,6
I  040210b8,6
I  040210be,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403aba0,8
I  040210cd,4
 L 04039e90,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab50,8
I  040210cd,4
 L 04039ea0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210e0,3
I  040210e3,3
I  040210e6,4
I  040210ea,2
I  040210ec,3
I  040210ef,3
I  040210f2,3
I  040210f5,3
I  040210f8,2
I  04021108,3
I  0402110b,3
I  0402110e,4
I  04021112,6
I  040215d0,3
I  040215d3,3
I  040215d6,4
I  040215da,6
I  040215e0,3
I  040215e3,3
I  040215e6,3
I  040215e9,5
I  040210c9,4
 S 0403ad90,8
I  040210cd,4
 L 04039eb0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab58,8
I  040210cd,4
 L 04039ec0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab60,8
I  040210cd,4
 L 04039ed0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab80,8
I  040210cd,4
 L 04039ee0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab88,8
I  040210cd,4
 L 04039ef0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab48,8
I  040210cd,4
 L 04039f00,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab40,8
I  040210cd,4
 L 04039f10,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403abd0,8
I  040210cd,4
 L 04039f20,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403abe8,8
I  040210cd,4
 L 04039f30,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab68,8
I  040210cd,4
 L 04039f40,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab70,8
I  040210cd,4
 L 04039f50,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210c9,4
 S 0403ab78,8
I  040210cd,4
 L 04039f60,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210e0,3
I  040210e3,3
I  040210e6,4
I  040210ea,2
I  040210c0,3
I  040210c3,3
I  040210c6,3
I  040210c9,4
 S 0403ac60,8
I  040210cd,4
 L 04039f70,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210e0,3
I  040210e3,3
I  040210e6,4
I  040210ea,2
I  040210c0,3
I  040210c3,3
I  040210c6,3
I  040210c9,4
 S 0403ac58,8
I  040210cd,4
 L 04039f80,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210e0,3
I  040210e3,3
I  040210e6,4
I  040210ea,2
I  040210c0,3
I  040210c3,3
I  040210c6,3
I  040210c9,4
 S 0403acc0,8
I  040210cd,4
 L 04039f90,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  040210da,4
I  040210de,2
I  040210e0,3
I  040210e3,3
I  040210e6,4
I  040210ea,2
I  040210c0,3
I  040210c3,3
I  040210c6,3
I  040210c9,4
 S 0403ac78,8
I  040210cd,4
 L 04039fa0,8
I  040210d1,4
I  040210d5,3
I  040210d8,2
I  04021128,7
 L 0403ae0e,1
I  0402112f,2
I  04021131,3
I  04021134,6
I  0402113a,7
 L 0403ab50,8
I  04021141,3
I  04021144,2
I  04021146,4
 M 04039e98,8
I  0402114a,7
 L 0403ab48,8
I  04021151,3
I  04021154,2
I  04021156,4
 M 04039ef8,8
I  0402115a,7
 L 0403ab58,8
I  04021161,3
I  04021164,2
I  04021166,4
 M 04039eb8,8
I  0402116a,7
 L 0403ab60,8
I  04021171,3
I  04021174,2
I  04021176,4
 M 04039ec8,8
I  0402117a,7
 L 0403ab68,8
I  04021181,3
I  04021184,2
I  04021186,4
 M 04039f38,8
I  0402118a,7
 L 0403abe8,8
I  04021191,3
I  04021194,2
I  04021196,4
 M 04039f28,8
I  0402119a,7
 L 0403acc0,8
I  040211a1,3
I  040211a4,2
I  040211a6,4
 M 04039f88,8
I  040211aa,7
 L 0403ad90,8
I  040211b1,3
I  040211b4,2
I  040211b6,4
 M 04039ea8,8
I  040211ba,7
 L 0403abd0,8
I  040211c1,3
I  040211c4,2
I  040211c6,5
 L 04039f18,8
I  040211cb,6
I  040211d1,7
 L 0403ab68,8
I  040211d8,3
I  040211db,2
I  040211dd,7
 L 0403ab78,8
I  040211e4,5
 L 04039f58,8
I  040211e9,6
I  040211ef,8
 L 0403ac18,8
I  040211f7,6
I  040211fd,8
 L 0403aba8,8
I  04021205,6
I  0402120b,7
 L 0403ac68,8
I  04021212,3
I  04021215,2
I  04021225,7
 L 0403ac20,8
I  0402122c,3
I  0402122f,2
I  0402123f,4
I  04021243,7
 L 0403abe8,8
I  0402124a,4
 S 1ffefff900,16
I  0402124e,4
 S 1ffefff910,16
I  04021252,4
 S 1ffefff920,16
I  04021256,4
 S 1ffefff930,16
I  0402125a,3
I  0402125d,6
I  04021263,4
 L 04039f38,8
I  04021267,3
I  0402126a,7
 L 0403ac78,8
I  04021271,4
I  04021275,4
I  04021279,7
 L 0403ab70,8
I  04021280,4
 L 04039f48,8
I  04021284,5
I  04021289,5
I  0402128e,4
I  04021292,4
I  04021296,4
 S 1ffefff900,16
I  0402129a,3
I  0402129d,2
I  0402129f,4
 L 04039f98,8
I  040212a3,4
 S 1ffefff910,8
I  040212a7,3
I  040212aa,2
I  040212ac,4
 L 04039f28,8
I  040212b0,3
I  040212b3,7
 L 0403ab40,8
I  040212ba,4
I  040212be,4
 L 04039f08,8
I  040212c2,4
I  040212c6,5
I  040212cb,5
I  040212d0,4
I  040212d4,4
I  040212d8,3
I  040212db,6
I  040212e1,3
I  040212e4,6
I  040215ee,3
I  040215f1,4
 S 1ffefff908,8
I  040215f5,5
I  040212ee,4
I  040212f2,4
I  040212f6,7
 S 1ffefff8c8,8
I  040212fd,3
I  04021300,7
I  04021307,7
 L 0403ab60,8
I  0402130e,3
 L 1ffefff900,8
I  04021311,4
 L 1ffefff910,8
I  04021315,4
 L 1ffefff908,8
I  04021319,4
 L 04039ec8,8
I  0402131d,3
I  04021320,3
I  04021323,4
I  04021327,4
I  0402132b,4
I  0402132f,4
I  04021333,3
I  04021336,2
I  04021338,8
I  04021340,3
 L 04000d58,8
I  04021343,3
I  04021346,4
 L 04000d60,4
I  0402134a,6
I  04021350,4
 L 04000d68,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038620,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000d70,8
I  04021343,3
I  04021346,4
 L 04000d78,4
I  0402134a,6
I  04021350,4
 L 04000d80,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038628,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000d88,8
I  04021343,3
I  04021346,4
 L 04000d90,4
I  0402134a,6
I  04021350,4
 L 04000d98,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038630,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000da0,8
I  04021343,3
I  04021346,4
 L 04000da8,4
I  0402134a,6
I  04021350,4
 L 04000db0,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038638,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000db8,8
I  04021343,3
I  04021346,4
 L 04000dc0,4
I  0402134a,6
I  04021350,4
 L 04000dc8,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038640,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000dd0,8
I  04021343,3
I  04021346,4
 L 04000dd8,4
I  0402134a,6
I  04021350,4
 L 04000de0,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038648,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000de8,8
I  04021343,3
I  04021346,4
 L 04000df0,4
I  0402134a,6
I  04021350,4
 L 04000df8,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038650,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e00,8
I  04021343,3
I  04021346,4
 L 04000e08,4
I  0402134a,6
I  04021350,4
 L 04000e10,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038658,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e18,8
I  04021343,3
I  04021346,4
 L 04000e20,4
I  0402134a,6
I  04021350,4
 L 04000e28,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038660,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e30,8
I  04021343,3
I  04021346,4
 L 04000e38,4
I  0402134a,6
I  04021350,4
 L 04000e40,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038668,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e48,8
I  04021343,3
I  04021346,4
 L 04000e50,4
I  0402134a,6
I  04021350,4
 L 04000e58,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038670,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e60,8
I  04021343,3
I  04021346,4
 L 04000e68,4
I  0402134a,6
I  04021350,4
 L 04000e70,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038678,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e78,8
I  04021343,3
I  04021346,4
 L 04000e80,4
I  0402134a,6
I  04021350,4
 L 04000e88,8
I  04021354,4
I  04021358,3
I  0402135b,3
 S 04038680,8
I  0402135e,3
I  04021361,2
I  04021340,3
 L 04000e90,8
I  04021343,3
I  04021346,4
 L 04000e98,4
I  0402134a,6
I  04021350,4
 L 04000ea0,8
I  04021354,4
